model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Clustering-TMDB,24,10,0.0,0.0,0.0,22,80
Clustering-TMDB,24,20,0.05,0.045454545454545456,0.27023815442731974,22,80
Clustering-TMDB,24,40,0.05,0.09090909090909091,0.29772982705152495,22,80
Clustering-TMDB,24,80,0.025,0.09090909090909091,0.29772982705152495,22,80
Clustering-TMDB,1422,5,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,10,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,20,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,40,0.025,0.02857142857142857,0.2,35,80
Clustering-TMDB,1422,80,0.0375,0.08571428571428572,0.24873869664327306,35,80
Clustering-TMDB,5656,5,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,10,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,20,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,40,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,80,0.0,0.0,0.0,1,80
Clustering-TMDB,5729,5,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,10,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,20,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,40,0.025,0.08333333333333333,0.19195872000656014,12,80
Clustering-TMDB,5729,80,0.0125,0.08333333333333333,0.19195872000656014,12,80
Clustering-TMDB,2438,5,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,10,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,20,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,40,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,80,0.0125,0.05555555555555555,0.16666666666666666,18,80
Clustering-TMDB,4163,5,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,10,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,20,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,40,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,80,0.0,0.0,0.0,4,80
Clustering-TMDB,1631,5,0.0,0.0,0.0,22,80
Clustering-TMDB,1631,10,0.0,0.0,0.0,22,80
Clustering-TMDB,1631,20,0.0,0.0,0.0,22,80
Clustering-TMDB,1631,40,0.0,0.0,0.0,22,80
Clustering-TMDB,1631,80,0.0125,0.045454545454545456,0.17070727966372012,22,80
Clustering-TMDB,2519,5,0.0,0.0,0.0,6,80
Clustering-TMDB,2519,10,0.0,0.0,0.0,6,80
Clustering-TMDB,2519,20,0.0,0.0,0.0,6,80
Clustering-TMDB,2519,40,0.0,0.0,0.0,6,80
Clustering-TMDB,2519,80,0.0,0.0,0.0,6,80
Clustering-TMDB,3588,5,0.0,0.0,0.0,40,80
Clustering-TMDB,3588,10,0.0,0.0,0.0,40,80
Clustering-TMDB,3588,20,0.05,0.025,0.2559580248098155,40,80
Clustering-TMDB,3588,40,0.05,0.05,0.28189630540097815,40,80
Clustering-TMDB,3588,80,0.025,0.05,0.28189630540097815,40,80
Clustering-TMDB,2859,5,0.0,0.0,0.0,28,80
Clustering-TMDB,2859,10,0.0,0.0,0.0,28,80
Clustering-TMDB,2859,20,0.0,0.0,0.0,28,80
Clustering-TMDB,2859,40,0.0,0.0,0.0,28,80
Clustering-TMDB,2859,80,0.0125,0.03571428571428571,0.17070727966372012,28,80
Clustering-TMDB,5387,5,0.0,0.0,0.0,76,80
Clustering-TMDB,5387,10,0.1,0.013157894736842105,0.3010299956639812,76,80
Clustering-TMDB,5387,20,0.05,0.013157894736842105,0.3010299956639812,76,80
Clustering-TMDB,5387,40,0.05,0.02631578947368421,0.30833889757965466,76,80
Clustering-TMDB,5387,80,0.0625,0.06578947368421052,0.3381185020644886,76,80
Clustering-TMDB,5636,5,0.0,0.0,0.0,68,80
Clustering-TMDB,5636,10,0.0,0.0,0.0,68,80
Clustering-TMDB,5636,20,0.05,0.014705882352941176,0.23137821315975915,68,80
Clustering-TMDB,5636,40,0.025,0.014705882352941176,0.23137821315975915,68,80
Clustering-TMDB,5636,80,0.025,0.029411764705882353,0.2548650825691453,68,80
Clustering-TMDB,4492,5,0.0,0.0,0.0,3,80
Clustering-TMDB,4492,10,0.0,0.0,0.0,3,80
Clustering-TMDB,4492,20,0.0,0.0,0.0,3,80
Clustering-TMDB,4492,40,0.0,0.0,0.0,3,80
Clustering-TMDB,4492,80,0.0,0.0,0.0,3,80
Clustering-TMDB,4745,5,0.2,0.1111111111111111,0.43067655807339306,9,80
Clustering-TMDB,4745,10,0.2,0.2222222222222222,0.448643819352159,9,80
Clustering-TMDB,4745,20,0.1,0.2222222222222222,0.448643819352159,9,80
Clustering-TMDB,4745,40,0.05,0.2222222222222222,0.448643819352159,9,80
Clustering-TMDB,4745,80,0.025,0.2222222222222222,0.448643819352159,9,80
Clustering-TMDB,2968,5,0.0,0.0,0.0,36,80
Clustering-TMDB,2968,10,0.0,0.0,0.0,36,80
Clustering-TMDB,2968,20,0.05,0.027777777777777776,0.23981246656813146,36,80
Clustering-TMDB,2968,40,0.075,0.08333333333333333,0.2964767775736564,36,80
Clustering-TMDB,2968,80,0.075,0.16666666666666666,0.34642689183385367,36,80
Clustering-TMDB,255,5,0.0,0.0,0.0,39,80
Clustering-TMDB,255,10,0.0,0.0,0.0,39,80
Clustering-TMDB,255,20,0.0,0.0,0.0,39,80
Clustering-TMDB,255,40,0.0,0.0,0.0,39,80
Clustering-TMDB,255,80,0.025,0.05128205128205128,0.19568707997706672,39,80
Clustering-TMDB,2551,5,0.0,0.0,0.0,6,80
Clustering-TMDB,2551,10,0.0,0.0,0.0,6,80
Clustering-TMDB,2551,20,0.0,0.0,0.0,6,80
Clustering-TMDB,2551,40,0.0,0.0,0.0,6,80
Clustering-TMDB,2551,80,0.0,0.0,0.0,6,80
Clustering-TMDB,1194,5,0.0,0.0,0.0,59,80
Clustering-TMDB,1194,10,0.0,0.0,0.0,59,80
Clustering-TMDB,1194,20,0.05,0.01694915254237288,0.25,59,80
Clustering-TMDB,1194,40,0.05,0.03389830508474576,0.2795012056541416,59,80
Clustering-TMDB,1194,80,0.0625,0.0847457627118644,0.32653619702832826,59,80
Clustering-TMDB,222,5,0.0,0.0,0.0,12,80
Clustering-TMDB,222,10,0.0,0.0,0.0,12,80
Clustering-TMDB,222,20,0.0,0.0,0.0,12,80
Clustering-TMDB,222,40,0.05,0.16666666666666666,0.2564945023644353,12,80
Clustering-TMDB,222,80,0.025,0.16666666666666666,0.2564945023644353,12,80
Clustering-TMDB,1742,5,0.0,0.0,0.0,6,60
Clustering-TMDB,1742,10,0.0,0.0,0.0,6,60
Clustering-TMDB,1742,20,0.05,0.16666666666666666,0.26264953503719357,6,60
Clustering-TMDB,1742,40,0.025,0.16666666666666666,0.26264953503719357,6,60
Clustering-TMDB,1742,80,0.0125,0.16666666666666666,0.26264953503719357,6,60
Clustering-TMDB,4251,5,0.0,0.0,0.0,10,80
Clustering-TMDB,4251,10,0.0,0.0,0.0,10,80
