model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
SVD Matrix Factorization,2517,80,0.0125,0.2,0.15863495891559604,5,80
SVD Matrix Factorization,5672,5,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,10,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,20,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,40,0.025,0.3333333333333333,0.18920035951687003,3,80
SVD Matrix Factorization,5672,80,0.0125,0.3333333333333333,0.18920035951687003,3,80
SVD Matrix Factorization,24,5,0.2,0.045454545454545456,1.0,22,80
SVD Matrix Factorization,24,10,0.2,0.09090909090909091,0.8175295903539445,22,80
SVD Matrix Factorization,24,20,0.1,0.09090909090909091,0.8175295903539445,22,80
SVD Matrix Factorization,24,40,0.125,0.22727272727272727,0.6492204512455836,22,80
SVD Matrix Factorization,24,80,0.1125,0.4090909090909091,0.6135149267232167,22,80
SVD Matrix Factorization,1422,5,0.6,0.08571428571428572,0.7328286204777911,35,80
SVD Matrix Factorization,1422,10,0.5,0.14285714285714285,0.7574391522808,35,80
SVD Matrix Factorization,1422,20,0.45,0.2571428571428571,0.7705333636993696,35,80
SVD Matrix Factorization,1422,40,0.325,0.37142857142857144,0.7694128023527361,35,80
SVD Matrix Factorization,1422,80,0.1875,0.42857142857142855,0.7633708387674958,35,80
SVD Matrix Factorization,5656,5,0.0,0.0,0.0,1,80
SVD Matrix Factorization,5656,10,0.0,0.0,0.0,1,80
SVD Matrix Factorization,5656,20,0.0,0.0,0.0,1,80
SVD Matrix Factorization,5656,40,0.025,1.0,0.20801459767650948,1,80
SVD Matrix Factorization,5656,80,0.0125,1.0,0.20801459767650948,1,80
SVD Matrix Factorization,5729,5,0.0,0.0,0.0,12,80
SVD Matrix Factorization,5729,10,0.0,0.0,0.0,12,80
SVD Matrix Factorization,5729,20,0.1,0.16666666666666666,0.29187569497433197,12,80
SVD Matrix Factorization,5729,40,0.05,0.16666666666666666,0.29187569497433197,12,80
SVD Matrix Factorization,5729,80,0.025,0.16666666666666666,0.29187569497433197,12,80
SVD Matrix Factorization,2438,5,0.0,0.0,0.0,18,80
SVD Matrix Factorization,2438,10,0.0,0.0,0.0,18,80
SVD Matrix Factorization,2438,20,0.0,0.0,0.0,18,80
SVD Matrix Factorization,2438,40,0.05,0.1111111111111111,0.24973301158516842,18,80
SVD Matrix Factorization,2438,80,0.0375,0.16666666666666666,0.265797502692553,18,80
SVD Matrix Factorization,4163,5,0.0,0.0,0.0,4,80
SVD Matrix Factorization,4163,10,0.0,0.0,0.0,4,80
SVD Matrix Factorization,4163,20,0.0,0.0,0.0,4,80
SVD Matrix Factorization,4163,40,0.0,0.0,0.0,4,80
SVD Matrix Factorization,4163,80,0.0,0.0,0.0,4,80
SVD Matrix Factorization,1631,5,0.0,0.0,0.0,22,80
SVD Matrix Factorization,1631,10,0.1,0.045454545454545456,0.31546487678572877,22,80
SVD Matrix Factorization,1631,20,0.05,0.045454545454545456,0.31546487678572877,22,80
SVD Matrix Factorization,1631,40,0.1,0.18181818181818182,0.3632007280032565,22,80
SVD Matrix Factorization,1631,80,0.0625,0.22727272727272727,0.37448123769076813,22,80
SVD Matrix Factorization,2519,5,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2519,10,0.0,0.0,0.0,6,80
SVD Matrix Factorization,2519,20,0.05,0.16666666666666666,0.27894294565112987,6,80
SVD Matrix Factorization,2519,40,0.025,0.16666666666666666,0.27894294565112987,6,80
SVD Matrix Factorization,2519,80,0.0125,0.16666666666666666,0.27894294565112987,6,80
SVD Matrix Factorization,3588,5,0.6,0.075,0.7122630665145961,40,80
SVD Matrix Factorization,3588,10,0.4,0.1,0.715663226334951,40,80
SVD Matrix Factorization,3588,20,0.4,0.2,0.7292431974165142,40,80
SVD Matrix Factorization,3588,40,0.275,0.275,0.7226629847342664,40,80
SVD Matrix Factorization,3588,80,0.15,0.3,0.7207304126796614,40,80
SVD Matrix Factorization,2859,5,0.2,0.03571428571428571,0.43067655807339306,28,80
SVD Matrix Factorization,2859,10,0.2,0.07142857142857142,0.45749452618986164,28,80
SVD Matrix Factorization,2859,20,0.25,0.17857142857142858,0.5067731391272766,28,80
SVD Matrix Factorization,2859,40,0.125,0.17857142857142858,0.5067731391272766,28,80
SVD Matrix Factorization,2859,80,0.0875,0.25,0.497556924698752,28,80
SVD Matrix Factorization,5387,5,0.2,0.013157894736842105,0.38685280723454163,76,80
SVD Matrix Factorization,5387,10,0.2,0.02631578947368421,0.4415801103577823,76,80
SVD Matrix Factorization,5387,20,0.45,0.11842105263157894,0.586604236477577,76,80
SVD Matrix Factorization,5387,40,0.4,0.21052631578947367,0.6435101933194375,76,80
SVD Matrix Factorization,5387,80,0.275,0.2894736842105263,0.6589175847131115,76,80
SVD Matrix Factorization,5636,5,1.0,0.07352941176470588,1.0,68,80
SVD Matrix Factorization,5636,10,0.9,0.1323529411764706,0.9971876401972103,68,80
SVD Matrix Factorization,5636,20,0.6,0.17647058823529413,0.9787562336346649,68,80
SVD Matrix Factorization,5636,40,0.55,0.3235294117647059,0.942658720687855,68,80
SVD Matrix Factorization,5636,80,0.35,0.4117647058823529,0.9226183218267295,68,80
SVD Matrix Factorization,4492,5,0.0,0.0,0.0,3,80
SVD Matrix Factorization,4492,10,0.0,0.0,0.0,3,80
SVD Matrix Factorization,4492,20,0.0,0.0,0.0,3,80
SVD Matrix Factorization,4492,40,0.0,0.0,0.0,3,80
SVD Matrix Factorization,4492,80,0.0,0.0,0.0,3,80
SVD Matrix Factorization,4745,5,0.2,0.1111111111111111,0.38685280723454163,9,80
SVD Matrix Factorization,4745,10,0.2,0.2222222222222222,0.42177340954886444,9,80
SVD Matrix Factorization,4745,20,0.2,0.4444444444444444,0.46932842742111913,9,80
SVD Matrix Factorization,4745,40,0.125,0.5555555555555556,0.48272651374414915,9,80
SVD Matrix Factorization,4745,80,0.0625,0.5555555555555556,0.48272651374414915,9,80
SVD Matrix Factorization,2968,5,0.0,0.0,0.0,36,80
SVD Matrix Factorization,2968,10,0.1,0.027777777777777776,0.3333333333333333,36,80
SVD Matrix Factorization,2968,20,0.15,0.08333333333333333,0.3870142927647342,36,80
SVD Matrix Factorization,2968,40,0.075,0.08333333333333333,0.3870142927647342,36,80
